Ticker
BTC-USD
ETH-USD
XRP-USD
USDT-USD
BCH-USD
LTC-USD
EOS-USD
BNB-USD
LINK-USD
XLM-USD
XMR-USD
ADA-USD
TRX-USD
DASH-USD
ETC-USD
NEO-USD
MIOTA-USD
ZEC-USD
XEM-USD
DOGE-USD
BAT-USD
VET-USD
BTG-USD
DCR-USD
QTUM-USD
LSK-USD
ICX-USD
ZRX-USD
REP-USD
WAVES-USD
KNC-USD
MCO-USD
OMG-USD
MONA-USD
DGB-USD
NANO-USD
KMD-USD
DGD-USD
SNT-USD
STEEM-USD
SC-USD
ZEN-USD
BCN-USD
BTS-USD
HC-USD
XVG-USD
GNT-USD
XZC-USD
ARDR-USD
AE-USD
MAID-USD
STRAT-USD
LRC-USD
ANT-USD
RLC-USD
ARK-USD
ICN-USD
WTC-USD
FCT-USD
MTL-USD
GNO-USD
PIVX-USD
VERI-USD
GBYTE-USD
BNT-USD
QASH-USD
CVC-USD
STORJ-USD
VTC-USD
PPT-USD
FUN-USD
GAS-USD
SYS-USD
NXS-USD
NXT-USD
ETP-USD
KIN-USD
ETHOS-USD
NEBL-USD
BLOCK-USD
VGX-USD
NAV-USD
ADX-USD
QRL-USD
PAY-USD
SALT-USD
SNGLS-USD
TAAS-USD
MLN-USD
GAME-USD
LKK-USD
PART-USD
UBQ-USD
DNT-USD
SMART-USD
SNM-USD
XCP-USD
WINGS-USD
FAIR-USD
DCN-USD
SUB-USD
IOC-USD
EDG-USD
MGO-USD
BTM1-USD
NLC2-USD
FRST-USD
MCAP-USD
ATB-USD
XUC-USD
