Ticker
ETH-USD
XRP-USD
BCH-USD
LTC-USD
EOS-USD
BNB-USD
XLM-USD
TRX-USD
ADA-USD
LINK-USD
XMR-USD
ETC-USD
DASH-USD
NEO-USD
MIOTA-USD
XEM-USD
ZEC-USD
DOGE-USD
BAT-USD
VET-USD
BTG-USD
BTC-USD
