DEXUSAL
DEXBZUS
DEXUSUK
DEXCAUS
DEXCHUS
DEXDNUS
DEXUSEU
DEXHKUS
DEXINUS
DEXJPUS
DEXMAUS
DEXMXUS
DEXTAUS
DEXUSNZ
DEXNOUS
DEXSIUS
DEXSFUS
DEXKOUS
DEXSLUS
DEXSDUS
DEXSZUS
DEXTHUS
